dataset,track,model,proteins,stratification,stratum,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_nox,LoRA-DR-Suite 650M,52,known_label_disorder_fraction,"(0.60,1.00]",18259,15144,3115,0.8293992003943261,0.6641623384784764,-0.16523686191584974,0.1565590910470367,0.27505407796568154,0.4884294468972052,0.2401555397338299,0.841381805028034,0.395338289265123,11630,2244,871,3514,0.8330370974757894,0.9557165603072877,0.9556832798388906,0.9243102282605197
CAID2,disorder_nox,PUNCH2-Light Paper-8,52,known_label_disorder_fraction,"(0.60,1.00]",18259,15144,3115,0.8293992003943261,0.6604171033611425,-0.16898209703318368,0.15684828068598383,0.29276635380116656,0.5454522562760487,0.1703817295580262,0.8946816073665325,0.45440679444536625,13214,1934,1181,1930,0.7809511514500919,0.9175983293394795,0.9176329380648354,0.9202179596207755
CAID2,disorder_nox,PUNCH2-Light Released-13,52,known_label_disorder_fraction,"(0.60,1.00]",18259,15144,3115,0.8293992003943261,0.7059153153399529,-0.12348388505437324,0.13927123479086823,0.25570207156707375,0.5083682814001047,0.1634810230571225,0.8998221297446052,0.4581819297051482,13406,1868,1247,1738,0.7837832039812132,0.9164616408296238,0.9165176599850013,0.9199103450453011
CAID2,disorder_nox,A10-locked,71,known_label_disorder_fraction,0-0.10,89730,3708,86022,0.04132397191574724,0.44739089392348036,0.4060669220077331,0.3509870936897169,0.41948063348356057,1.7758653662843855,0.3834169174189234,0.156309774878611,0.18820922143161511,3187,52139,33883,521,0.7247862880815943,0.06675937843126464,0.06680695506096618,0.1603647090372754
CAID2,disorder_nox,LoRA-DR-Suite 650M,71,known_label_disorder_fraction,0-0.10,89730,3708,86022,0.04132397191574724,0.2599351699662008,0.21861119805045356,0.14732918835980402,0.25198179796422604,0.43619969706780065,0.2281956982057283,0.19086382676045205,0.1994039150725978,2415,66839,19183,1293,0.8143948202131979,0.1518004888479637,0.1518637816716921,0.20932069510268564
CAID2,disorder_nox,PUNCH2-Light Paper-8,71,known_label_disorder_fraction,0-0.10,89730,3708,86022,0.04132397191574724,0.32283099237026186,0.2815070204545146,0.22535665446698666,0.3178775177538638,0.7325883395921285,0.33083695531037555,0.14028381117868519,0.1353959259538491,2422,57622,28400,1286,0.7111738032971522,0.06744901110978443,0.06748564284848478,0.14281047530897803
CAID2,disorder_nox,PUNCH2-Light Released-13,71,known_label_disorder_fraction,0-0.10,89730,3708,86022,0.04132397191574724,0.34788021841494593,0.30655624649919866,0.2508017487502699,0.33819623084182665,0.8099055316460064,0.34251643820349936,0.1453756743228964,0.14949388217312845,2614,56382,29640,1094,0.7133112093424233,0.0692895921283349,0.0693326665601003,0.14655243204773766
CAID2,disorder_nox,A10-locked,62,known_label_disorder_fraction,"(0.10,0.30]",40203,6730,33473,0.16740044275302837,0.4468642234849561,0.2794637807319277,0.30137388413303934,0.3509693293370656,1.4613912087124528,0.3326119941297913,0.4432972522897586,0.32697022027633127,5324,21507,11966,1406,0.7447064696396097,0.30464601252763934,0.30482116379591806,0.4598624963687422
CAID2,disorder_nox,LoRA-DR-Suite 650M,62,known_label_disorder_fraction,"(0.10,0.30]",40203,6730,33473,0.16740044275302837,0.3051586179922618,0.13775817523923342,0.1719922508000388,0.27112208138876653,0.5459539228853784,0.23771857821555606,0.47347253594843264,0.3523718542670813,4297,26349,7124,2433,0.7809030688902356,0.40814764341344656,0.40837520431430185,0.47980812860569133
CAID2,disorder_nox,PUNCH2-Light Paper-8,62,known_label_disorder_fraction,"(0.10,0.30]",40203,6730,33473,0.16740044275302837,0.32301192722984606,0.1556114844768177,0.20851869367258588,0.29241201323691013,0.6957505103921597,0.28729199313484066,0.4481605351170569,0.32240898907544935,4690,23963,9510,2040,0.7510053832835664,0.30476986189588284,0.30488498112347634,0.4514224117729766
CAID2,disorder_nox,PUNCH2-Light Released-13,62,known_label_disorder_fraction,"(0.10,0.30]",40203,6730,33473,0.16740044275302837,0.34669365291114346,0.17929321015811508,0.2241738818369573,0.3003988602865184,0.7568582927074943,0.29037634007412383,0.45310596833130323,0.33093737794567196,4836,23693,9780,1894,0.7535229165428357,0.3058783832768316,0.3059974953474538,0.45390266299357207
CAID2,disorder_nox,A10-locked,25,known_label_disorder_fraction,"(0.30,0.60]",12610,5733,6877,0.45463917525773195,0.7017508256988738,0.24711165044114186,0.24261271671676993,0.3006616549251546,1.0311988485219408,0.2839809674861221,0.7546420006851662,0.5150266930861755,5507,3522,3355,226,0.8558365692186503,0.8110979156247221,0.8111473669273817,0.7655824616707264
CAID2,disorder_nox,LoRA-DR-Suite 650M,25,known_label_disorder_fraction,"(0.30,0.60]",12610,5733,6877,0.45463917525773195,0.44337672273193346,-0.011262452525798494,0.2461350053713948,0.3574926249542808,0.7185375428148809,0.3775574940523394,0.5757062650387665,0.23608509781208717,3230,4619,2258,2503,0.7508070024428901,0.6577849301663082,0.6576705943343519,0.7854951185495119
CAID2,disorder_nox,PUNCH2-Light Paper-8,25,known_label_disorder_fraction,"(0.30,0.60]",12610,5733,6877,0.45463917525773195,0.4683058653298414,0.013666690072109466,0.17303900032809943,0.29789928237943697,0.5582966750906201,0.22624900872323553,0.7669688801764274,0.5530233905293637,4695,5062,1815,1038,0.8260967977829565,0.7373872198864366,0.7375407038594688,0.7711426726920594
