dataset,track,true_state,segment_length_bin,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_nox,ordered,101+,PUNCH2-Light Paper-8,151,124361,0,124361,0.0,0.2980200664129092,0.2980200664129092,0.21173299259679917,0.2980200664129092,0.6882035483730716,0.3126784120423605,0.0,0.0,0,85476,38885,0,,,,
CAID2,disorder_nox,ordered,101+,PUNCH2-Light Released-13,151,124361,0,124361,0.0,0.3203380716036844,0.3203380716036844,0.2390505226177299,0.3203380716036844,0.7741653003876773,0.32676642999010946,0.0,0.0,0,83724,40637,0,,,,
CAID2,disorder_nox,ordered,31-100,A10-locked,56,4225,0,4225,0.0,0.5127423636682106,0.5127423636682106,0.40481290217733085,0.5127423636682106,1.6658004559537698,0.4795266272189349,0.0,0.0,0,2199,2026,0,,,,
CAID2,disorder_nox,ordered,31-100,LoRA-DR-Suite 650M,56,4225,0,4225,0.0,0.44392151641538696,0.44392151641538696,0.3149758695111381,0.44392151641538696,0.9461680779363896,0.4485207100591716,0.0,0.0,0,2330,1895,0,,,,
CAID2,disorder_nox,ordered,31-100,PUNCH2-Light Paper-8,56,4225,0,4225,0.0,0.32487236008977516,0.32487236008977516,0.21123780666241485,0.32487236008977516,0.6620106002762336,0.3353846153846154,0.0,0.0,0,2808,1417,0,,,,
CAID2,disorder_nox,ordered,31-100,PUNCH2-Light Released-13,56,4225,0,4225,0.0,0.35086556477592895,0.35086556477592895,0.24395819038395572,0.35086556477592895,0.7658532219523991,0.34745562130177515,0.0,0.0,0,2757,1468,0,,,,
CAID2,disorder_nox,disordered,31-100,A10-locked,83,5668,5668,0,1.0,0.8701883117905964,-0.1298116882094036,0.08074081828139866,0.12981168820940364,0.25027307001856613,0.11626676076217361,0.9382785426617964,0.0,5009,0,0,659,,,,
CAID2,disorder_nox,disordered,31-100,LoRA-DR-Suite 650M,83,5668,5668,0,1.0,0.6815628809897142,-0.3184371190102858,0.18656139612658867,0.3184371190102858,0.5659556813332656,0.26940719830628085,0.844326638801101,0.0,4141,0,0,1527,,,,
CAID2,disorder_nox,disordered,31-100,PUNCH2-Light Paper-8,83,5668,5668,0,1.0,0.6039004793158257,-0.3960995206841743,0.2504530085656025,0.39609952068417426,0.814516689701809,0.3041637261820748,0.8206408655846859,0.0,3944,0,0,1724,,,,
CAID2,disorder_nox,disordered,31-100,PUNCH2-Light Released-13,83,5668,5668,0,1.0,0.6540462370273288,-0.3459537629726712,0.2144624369969132,0.3459537629726711,0.7236127510334932,0.2672900494001411,0.8457387231442827,0.0,4153,0,0,1515,,,,
CAID2,disorder_nox,ordered,16-30,A10-locked,33,756,0,756,0.0,0.8242303750006614,0.8242303750006614,0.7839161025507572,0.8242303750006614,3.6576698884919474,0.8253968253968254,0.0,0.0,0,132,624,0,,,,
CAID2,disorder_nox,ordered,16-30,LoRA-DR-Suite 650M,33,756,0,756,0.0,0.5788488834765476,0.5788488834765476,0.4209610981725598,0.5788488834765476,1.208878759372711,0.5846560846560847,0.0,0.0,0,314,442,0,,,,
CAID2,disorder_nox,ordered,16-30,PUNCH2-Light Paper-8,33,756,0,756,0.0,0.6600592577219576,0.6600592577219576,0.560390916108465,0.6600592577219576,2.0567469811572394,0.7129629629629629,0.0,0.0,0,217,539,0,,,,
CAID2,disorder_nox,ordered,16-30,PUNCH2-Light Released-13,33,756,0,756,0.0,0.685840394876455,0.685840394876455,0.6018503814238216,0.685840394876455,2.302593883422347,0.7195767195767195,0.0,0.0,0,212,544,0,,,,
CAID2,disorder_nox,ordered,1-15,A10-locked,17,145,0,145,0.0,0.6490499637937931,0.6490499637937931,0.5734111417964582,0.6490499637937931,2.4052395684365813,0.6344827586206897,0.0,0.0,0,53,92,0,,,,
CAID2,disorder_nox,ordered,1-15,LoRA-DR-Suite 650M,17,145,0,145,0.0,0.561374711324138,0.561374711324138,0.4115907976376951,0.561374711324138,1.2408003734027893,0.5103448275862069,0.0,0.0,0,71,74,0,,,,
CAID2,disorder_nox,ordered,1-15,PUNCH2-Light Paper-8,17,145,0,145,0.0,0.40123775923310345,0.40123775923310345,0.28385413969430606,0.40123775923310345,0.9035810816832187,0.4482758620689655,0.0,0.0,0,80,65,0,,,,
CAID2,disorder_nox,ordered,1-15,PUNCH2-Light Released-13,17,145,0,145,0.0,0.4298853679103449,0.4298853679103449,0.32693029273758756,0.4298853679103449,0.9909473275982821,0.4689655172413793,0.0,0.0,0,77,68,0,,,,
CAID2,disorder_nox,disordered,1-15,A10-locked,28,456,456,0,1.0,0.525189133955044,-0.47481086604495604,0.35347767452550083,0.4748108660449561,1.1134273960136085,0.4649122807017544,0.6971428571428571,0.0,244,0,0,212,,,,
CAID2,disorder_nox,disordered,1-15,LoRA-DR-Suite 650M,28,456,456,0,1.0,0.41802409243574556,-0.5819759075642544,0.43802131766585223,0.5819759075642543,1.2903264094487563,0.6228070175438597,0.5477707006369427,0.0,172,0,0,284,,,,
CAID2,disorder_nox,disordered,1-15,PUNCH2-Light Paper-8,28,456,456,0,1.0,0.3284485722524123,-0.6715514277475877,0.5097195953204285,0.6715514277475877,1.5577493716617798,0.7083333333333334,0.45161290322580644,0.0,133,0,0,323,,,,
CAID2,disorder_nox,disordered,1-15,PUNCH2-Light Released-13,28,456,456,0,1.0,0.3780840298949561,-0.6219159701050438,0.4608032060671257,0.6219159701050438,1.4245443666052382,0.6425438596491229,0.5266558966074314,0.0,163,0,0,293,,,,
CAID2,disorder_pdb,disordered,101+,A10-locked,89,24464,24464,0,1.0,0.9157462775355939,-0.0842537224644061,0.05988050821205454,0.08425372246440606,0.2181083212705408,0.07206507521255723,0.9626205872999046,0.0,22701,0,0,1763,,,,
CAID2,disorder_pdb,disordered,101+,LoRA-DR-Suite 650M,89,24464,24464,0,1.0,0.6708317958767095,-0.3291682041232905,0.20207053070231043,0.3291682041232905,0.6285807452253176,0.3077992151733159,0.818107154935021,0.0,16934,0,0,7530,,,,
CAID2,disorder_pdb,disordered,101+,PUNCH2-Light Paper-8,89,24464,24464,0,1.0,0.7034163708922008,-0.29658362910779923,0.15746001462737447,0.29658362910779923,0.5672626144362045,0.15017985611510792,0.9188138065143412,0.0,20790,0,0,3674,,,,
CAID2,disorder_pdb,disordered,101+,PUNCH2-Light Released-13,89,24464,24464,0,1.0,0.755503957864413,-0.24449604213558696,0.1276734406248452,0.244496042135587,0.4891406438723571,0.13174460431654678,0.929482551143201,0.0,21241,0,0,3223,,,,
CAID2,disorder_pdb,disordered,16-30,A10-locked,119,3065,3065,0,1.0,0.6311502742803817,-0.36884972571961827,0.27744158377337463,0.36884972571961827,0.9375234951772274,0.366721044045677,0.7754694366759889,0.0,1941,0,0,1124,,,,
CAID2,disorder_pdb,disordered,16-30,LoRA-DR-Suite 650M,119,3065,3065,0,1.0,0.5314086253801827,-0.46859137461981726,0.30525193025204445,0.46859137461981726,0.9132353493409411,0.43523654159869496,0.7218515429524603,0.0,1731,0,0,1334,,,,
CAID2,disorder_pdb,disordered,16-30,PUNCH2-Light Paper-8,119,3065,3065,0,1.0,0.43579947893386617,-0.5642005210661338,0.4204476495474648,0.5642005210661338,1.3481854747599649,0.5275693311582381,0.6417017504985597,0.0,1448,0,0,1617,,,,
CAID2,disorder_pdb,disordered,16-30,PUNCH2-Light Released-13,119,3065,3065,0,1.0,0.47753937324818924,-0.5224606267518108,0.38459794488890586,0.5224606267518107,1.2423582518418452,0.4903752039151713,0.6751674951372378,0.0,1562,0,0,1503,,,,
CAID2,disorder_pdb,ordered,31-100,A10-locked,145,14562,0,14562,0.0,0.20967119089378383,0.20967119089378383,0.11843602472277598,0.20967119089378383,0.4032078531983213,0.15382502403516002,0.0,0.0,0,12322,2240,0,,,,
CAID2,disorder_pdb,ordered,31-100,LoRA-DR-Suite 650M,145,14562,0,14562,0.0,0.18418064126886002,0.18418064126886002,0.09063511908059257,0.18418064126886002,0.2978512737988826,0.12491416014283752,0.0,0.0,0,12743,1819,0,,,,
CAID2,disorder_pdb,ordered,31-100,PUNCH2-Light Paper-8,145,14562,0,14562,0.0,0.1337773490657808,0.1337773490657808,0.058547541643496244,0.1337773490657808,0.18684575124253694,0.10795220436753193,0.0,0.0,0,12990,1572,0,,,,
CAID2,disorder_pdb,ordered,31-100,PUNCH2-Light Released-13,145,14562,0,14562,0.0,0.1445417948017168,0.1445417948017168,0.07015705886145938,0.1445417948017168,0.21499133930304817,0.1161928306551298,0.0,0.0,0,12870,1692,0,,,,
CAID2,disorder_pdb,disordered,1-15,A10-locked,96,1459,1459,0,1.0,0.4439615436672241,-0.5560384563327758,0.4514631376192012,0.5560384563327759,1.5605477261518026,0.568882796435915,0.6024904214559387,0.0,629,0,0,830,,,,
CAID2,disorder_pdb,disordered,1-15,LoRA-DR-Suite 650M,96,1459,1459,0,1.0,0.4274602654912337,-0.5725397345087663,0.42003545519466745,0.5725397345087664,1.2586974025123523,0.5990404386566142,0.5724070450097848,0.0,585,0,0,874,,,,
CAID2,disorder_pdb,disordered,1-15,PUNCH2-Light Paper-8,96,1459,1459,0,1.0,0.35565054246004113,-0.6443494575399589,0.5092629640926825,0.6443494575399589,1.6400911068047668,0.658670322138451,0.5089422585590189,0.0,498,0,0,961,,,,
CAID2,disorder_pdb,disordered,1-15,PUNCH2-Light Released-13,96,1459,1459,0,1.0,0.3934730413777245,-0.6065269586222755,0.4714528516180277,0.6065269586222755,1.5206996499107457,0.6223440712816998,0.5482587064676616,0.0,551,0,0,908,,,,
CAID2,disorder_pdb,disordered,31-100,A10-locked,130,8084,8084,0,1.0,0.8426033872162902,-0.15739661278370976,0.1024006800216931,0.15739661278370978,0.3296883032649059,0.14275111331024246,0.923138404156121,0.0,6930,0,0,1154,,,,
CAID2,disorder_pdb,disordered,31-100,LoRA-DR-Suite 650M,130,8084,8084,0,1.0,0.6574406364249209,-0.3425593635750791,0.20353983886017077,0.34255936357507916,0.6245180529622912,0.2924294903513112,0.8287452912199362,0.0,5720,0,0,2364,,,,
