dataset,track,scope,stratum,proteins,first_model,second_model,residues,score_pearson,score_spearman,mean_absolute_score_difference,threshold_disagreement_residues,threshold_disagreement_rate,both_correct,a10_only_correct,comparator_only_correct,both_wrong,both_correct_rate,a10_only_correct_rate,comparator_only_correct_rate,both_wrong_rate,either_model_correct_rate,a10_net_correct_rate_advantage,error_overlap_jaccard
CAID2,disorder_nox,protein_length,1-200,39,A10-locked,PUNCH2-Light Paper-8,4838,0.7713647416054557,0.871388532494755,0.26462409117064073,1089,0.22509301364200082,2985,657,432,764,0.6169904919388177,0.1357999173212071,0.08929309632079371,0.15791649441918149,0.8420835055808186,0.046506821000413395,0.4123043712898003
CAID2,disorder_nox,protein_length,1-200,39,A10-locked,PUNCH2-Light Released-13,4838,0.7897641728601691,0.875278209815899,0.23969238709252583,1012,0.20917734601074825,3061,581,431,765,0.6326994625878463,0.12009094667217858,0.08908639933856966,0.15812319140140554,0.8418768085985945,0.03100454733360893,0.4305008441193022
CAID2,disorder_nox,known_label_disorder_fraction,"(0.60,1.00]",52,A10-locked,LoRA-DR-Suite 650M,18259,0.6681154147128642,0.48015093633092165,0.2175299873052933,3640,0.19935374335943917,13106,2872,768,1513,0.717783011117805,0.157292294211074,0.04206144914836519,0.0828632455227559,0.9171367544772441,0.1152308450627088,0.29361536968756063
CAID2,disorder_nox,known_label_disorder_fraction,"(0.60,1.00]",52,A10-locked,PUNCH2-Light Paper-8,18259,0.7865387002936192,0.7541826600435181,0.21488368430737773,1736,0.09507640067911714,14695,1283,453,1828,0.8048085875458678,0.07026671778301112,0.02480968289610603,0.10011501177501506,0.899884988224985,0.04545703488690509,0.5129068462401796
CAID2,disorder_nox,known_label_disorder_fraction,"(0.60,1.00]",52,A10-locked,PUNCH2-Light Released-13,18259,0.8292093430533382,0.7767503595248032,0.17066666107368914,1508,0.08258940796319623,14872,1106,402,1879,0.8145024371542801,0.06057286817459883,0.022016539788597404,0.10290815488252368,0.8970918451174763,0.038556328386001426,0.5547682314732801
CAID2,disorder_nox,known_label_disorder_fraction,0-0.10,71,A10-locked,LoRA-DR-Suite 650M,89730,0.7962035824947638,0.7997862717116208,0.2170050123147586,16954,0.18894461161261564,53813,1513,15441,18963,0.5997213863813663,0.01686169619971024,0.17208291541290538,0.21133400200601807,0.788665997993982,-0.15522121921319515,0.5279672578444747
CAID2,disorder_nox,known_label_disorder_fraction,0-0.10,71,A10-locked,PUNCH2-Light Paper-8,89730,0.8552921912409429,0.8771990466832459,0.16271520377876952,11334,0.12631227014376462,52018,3308,8026,26378,0.5797169285634682,0.03686615401760838,0.08944611612615624,0.2939708012927672,0.7060291987072328,-0.052579962108547866,0.6994590581247349
CAID2,disorder_nox,known_label_disorder_fraction,0-0.10,71,A10-locked,PUNCH2-Light Released-13,89730,0.8648349977139314,0.8782061565015632,0.14796678279669978,10948,0.12201047587206063,51687,3639,7309,27095,0.5760280842527583,0.04055499832831829,0.08145547754374234,0.3019614398751811,0.6980385601248189,-0.04090047921542405,0.7122203821990905
CAID2,disorder_nox,known_label_disorder_fraction,"(0.10,0.30]",62,A10-locked,LoRA-DR-Suite 650M,40203,0.7557494137795221,0.769143467730339,0.20101573908440987,7489,0.18627963087331792,24994,1837,5652,7720,0.6216948983906674,0.04569310747954133,0.14058652339377659,0.19202547073601473,0.8079745292639853,-0.09489341591423525,0.5075941876520481
CAID2,disorder_nox,known_label_disorder_fraction,"(0.10,0.30]",62,A10-locked,PUNCH2-Light Paper-8,40203,0.9063949434595511,0.8914133659647603,0.14111568243507228,3472,0.08636171429992787,26006,825,2647,10725,0.64686714921772,0.02052085665248862,0.06584085764743924,0.26677113648235207,0.7332288635176479,-0.04532000099495063,0.7554412904134676
CAID2,disorder_nox,known_label_disorder_fraction,"(0.10,0.30]",62,A10-locked,PUNCH2-Light Released-13,40203,0.9202891931583227,0.8931079798257064,0.12058945054048577,3152,0.07840210929532622,26104,727,2425,10947,0.6493047782503794,0.018083227619829365,0.06031888167549685,0.27229311245429444,0.7277068875457056,-0.04223565405566749,0.7764380452514362
CAID2,disorder_nox,known_label_disorder_fraction,"(0.30,0.60]",25,A10-locked,LoRA-DR-Suite 650M,12610,0.4468315993046055,0.3906118248782441,0.35668049700935445,4876,0.3866772402854877,6001,3028,1848,1733,0.47589214908802535,0.2401268834258525,0.14655035685963522,0.13743061062648693,0.8625693893735131,0.09357652656621729,0.26221818732032076
CAID2,disorder_nox,known_label_disorder_fraction,"(0.30,0.60]",25,A10-locked,PUNCH2-Light Paper-8,12610,0.8247853863106895,0.8797231621108449,0.2441323155778509,2430,0.19270420301348137,8178,851,1579,2002,0.6485329103885805,0.06748612212529738,0.12521808088818398,0.15876288659793814,0.8412371134020619,-0.0577319587628866,0.4517148014440433
CAID2,disorder_nox,known_label_disorder_fraction,"(0.30,0.60]",25,A10-locked,PUNCH2-Light Released-13,12610,0.8427393239463032,0.8847380405617206,0.20677321769642187,2048,0.16241078509119747,8342,687,1361,2220,0.6615384615384615,0.05448057097541634,0.10793021411578113,0.176050753370341,0.823949246629659,-0.05344964314036479,0.5201499531396439
CAID2,disorder_pdb,overall,all,348,A10-locked,LoRA-DR-Suite 650M,130877,0.8267402072734089,0.8150989545364892,0.13365500369346225,14890,0.1137709452386592,109457,11522,3368,6530,0.8363348793141652,0.08803685903558303,0.02573408620307617,0.049894175447175594,0.9501058245528244,0.062302772832506854,0.30485527544351076
CAID2,disorder_pdb,overall,all,348,A10-locked,PUNCH2-Light Paper-8,130877,0.9123855353393524,0.8293149642290988,0.11023915710842379,8157,0.0623256951183172,116053,4926,3231,6667,0.8867333450491683,0.037638393300579935,0.024687301817737265,0.050940959832514496,0.9490590401674855,0.012951091482842668,0.4497436589314625
CAID2,disorder_pdb,overall,all,348,A10-locked,PUNCH2-Light Released-13,130877,0.924614763573534,0.8275718576633407,0.09699716562242014,7327,0.05598386271078952,116733,4246,3081,6817,0.8919290631661789,0.0324426751835693,0.023541187527220214,0.05208707412303155,0.9479129258769684,0.008901487656349091,0.48197115384615385
