dataset,track,stratification,stratum,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_pdb,distance_to_nearest_observed_transition,0-2,A10-locked,235,3075,1539,1536,0.5004878048780488,0.3933717562004488,-0.1071160486776,0.3403391727714151,0.4567200686412943,1.169318380263189,0.44390243902439025,0.48895544739797825,0.11658013625400505,653,1057,479,886,0.5686064239495343,0.5597594433590913,0.5604231136540944,0.6678253313056702
CAID2,disorder_pdb,distance_to_nearest_observed_transition,0-2,LoRA-DR-Suite 650M,235,3075,1539,1536,0.5004878048780488,0.3518100029505399,-0.1486778019275089,0.3134576849625483,0.4572961826311447,0.9483819371740482,0.447479674796748,0.4401952807160293,0.11516227506107853,541,1158,378,998,0.5933381812459388,0.5696185603712753,0.5700119637962188,0.6713732634935095
CAID2,disorder_pdb,distance_to_nearest_observed_transition,0-2,PUNCH2-Light Paper-8,235,3075,1539,1536,0.5004878048780488,0.24361241671733333,-0.2568753881607154,0.33728197694685713,0.4565183057780163,1.1093505505670043,0.45203252032520325,0.35707678075855687,0.1200623970189984,386,1299,237,1153,0.6052174707602339,0.5919476745351789,0.5924016044637874,0.6701714285714286
CAID2,disorder_pdb,distance_to_nearest_observed_transition,0-2,PUNCH2-Light Released-13,235,3075,1539,1536,0.5004878048780488,0.2658766607320976,-0.2346111441459512,0.3286498242939618,0.44823243832650406,1.0841859410126802,0.43642276422764226,0.4019607843137255,0.151872364474872,451,1282,254,1088,0.6157547006985056,0.5991022396873247,0.59955399284337,0.6697017983155019
CAID2,disorder_pdb,distance_to_nearest_observed_transition,16+,A10-locked,234,61519,8435,53084,0.1371121117053268,0.18378828413412734,0.04667617242880054,0.03897390077308136,0.08322974866144117,0.1488228371588325,0.04655472293112697,0.8369206240747068,0.8106730522773019,7349,51306,1778,1086,0.9629545105436678,0.9180592848838756,0.9180617010222342,0.8734375981408201
CAID2,disorder_pdb,distance_to_nearest_observed_transition,16+,LoRA-DR-Suite 650M,234,61519,8435,53084,0.1371121117053268,0.17370790816712658,0.03659579646179978,0.07398473953199296,0.15231467820040737,0.24983129465953635,0.10248866203936995,0.6063065875741491,0.5486204112533374,4855,50359,2725,3580,0.9029969188648098,0.6799799207934424,0.6798479642412507,0.6226897069872276
CAID2,disorder_pdb,distance_to_nearest_observed_transition,16+,PUNCH2-Light Paper-8,234,61519,8435,53084,0.1371121117053268,0.13285292990348022,-0.00425918180184659,0.03825222552515078,0.08593120290244965,0.14368424457897158,0.043791349014125715,0.8323166936387402,0.8085445466607716,6686,52139,945,1749,0.9632684630820992,0.889462525054739,0.8894673424783871,0.8325555348142617
CAID2,disorder_pdb,distance_to_nearest_observed_transition,16+,PUNCH2-Light Released-13,234,61519,8435,53084,0.1371121117053268,0.14238209404512103,0.005269982339794227,0.03669450325938638,0.08240825725734813,0.13892446428107078,0.04483167801817325,0.8320545609548167,0.8066079788359092,6832,51929,1155,1603,0.9638665778817096,0.8944172164257833,0.8944215158987091,0.8358453679762881
CAID2,disorder_pdb,distance_to_nearest_observed_transition,3-5,A10-locked,235,3026,1506,1520,0.4976867151354924,0.39532554183399865,-0.10236117330149375,0.27817191684664694,0.38429206328765364,0.9620640762959789,0.3645076007931262,0.5826712069617859,0.2785772866042294,770,1153,367,736,0.6763288949465297,0.6683527291115259,0.6688783608806688,0.6726785279064099
CAID2,disorder_pdb,distance_to_nearest_observed_transition,3-5,LoRA-DR-Suite 650M,235,3026,1506,1520,0.4976867151354924,0.35195093419336415,-0.14573578094212825,0.254221401922227,0.3909747029956775,0.7656230691986345,0.3645076007931262,0.548875255623722,0.29098615320079346,671,1252,268,835,0.7244085063255749,0.680215745492113,0.6804354474373423,0.7119084763390535
