scope,track,model,metric,caid2,caid3,delta,absolute_delta,minimum,maximum,range
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,error_rate_at_0_5,0.08452974930660086,0.08822136458448795,0.0036916152778870975,0.0036916152778870975,,,
range_across_four_external_tracks,all,A10-locked,roc_auc_full_precision,,,,,0.7807674567316163,0.9575679751694285,0.1768005184378122
range_across_four_external_tracks,all,A10-locked,aucpr_trapezoid_full_precision,,,,,0.3605817080016462,0.9335209430446846,0.5729392350430385
range_across_four_external_tracks,all,A10-locked,aps_full_precision,,,,,0.3606210577771879,0.9335218070402551,0.5729007492630672
range_across_four_external_tracks,all,A10-locked,f1_at_0_5_full_precision,,,,,0.5144739938809132,0.8667833109017496,0.35230931702083645
range_across_four_external_tracks,all,A10-locked,mcc_at_0_5_full_precision,,,,,0.4084275764143168,0.8139848467160302,0.4055572703017134
range_across_four_external_tracks,all,A10-locked,fmax_full_precision,,,,,0.5373743142093778,0.8719740664337137,0.3345997522243359
range_across_four_external_tracks,all,A10-locked,brier_score,,,,,0.06085538859487723,0.30223102758740766,0.24137563899253045
range_across_four_external_tracks,all,A10-locked,error_rate_at_0_5,,,,,0.07562826165025176,0.3335655029166304,0.2579372412663786
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,roc_auc_full_precision,,,,,0.8348449214682554,0.9201788847823578,0.08533396331410237
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,aucpr_trapezoid_full_precision,,,,,0.5883559630051634,0.8668394038070357,0.2784834408018724
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,aps_full_precision,,,,,0.5881376908121885,0.8667428485576336,0.27860515774544514
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,f1_at_0_5_full_precision,,,,,0.5240819698018779,0.7737697205934239,0.24968775079154593
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,mcc_at_0_5_full_precision,,,,,0.39272929656110894,0.6793974692032949,0.28666817264218597
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,fmax_full_precision,,,,,0.5307887405929067,0.779280855790739,0.24849211519783232
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,brier_score,,,,,0.09692511772528746,0.1622916841307963,0.06536656640550885
range_across_four_external_tracks,all,LoRA-DR-Suite 650M,error_rate_at_0_5,,,,,0.1356825441610657,0.24364746707130508,0.10796492291023937
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,roc_auc_full_precision,,,,,0.7775397976999057,0.9509222551346361,0.17338245743473046
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,aucpr_trapezoid_full_precision,,,,,0.36670727656035024,0.9225165236178101,0.5558092470574598
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,aps_full_precision,,,,,0.36673561108737496,0.9225179223392903,0.5557823112519154
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,f1_at_0_5_full_precision,,,,,0.5146130272927336,0.8372947201130143,0.3226816928202807
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,mcc_at_0_5_full_precision,,,,,0.3889739215633608,0.7824779183216044,0.3935039967582436
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,fmax_full_precision,,,,,0.5152549907055687,0.8511779913174966,0.3359230006119279
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,brier_score,,,,,0.07560911109815488,0.20926508500033825,0.13365597390218337
range_across_four_external_tracks,all,PUNCH2-Light Paper-8,error_rate_at_0_5,,,,,0.08857935313309444,0.29352868745413613,0.20494933432104168
